MTU (CET/CEST),Day-ahead Price [EUR/MWh],Currency,BZN|IE(SEM)
07.03.2024 16:00 - 07.03.2024 17:00,75.8,BZN|IE(SEM),
07.03.2024 17:00 - 07.03.2024 18:00,87,BZN|IE(SEM),
07.03.2024 18:00 - 07.03.2024 19:00,106.93,BZN|IE(SEM),
07.03.2024 19:00 - 07.03.2024 20:00,114.4,BZN|IE(SEM),
07.03.2024 20:00 - 07.03.2024 21:00,104.28,BZN|IE(SEM),
07.03.2024 21:00 - 07.03.2024 22:00,88.23,BZN|IE(SEM),
07.03.2024 22:00 - 07.03.2024 23:00,81,BZN|IE(SEM),
07.03.2024 23:00 - 08.03.2024 00:00,70.4,BZN|IE(SEM),
08.03.2024 00:00 - 08.03.2024 01:00,71.89,BZN|IE(SEM),
08.03.2024 01:00 - 08.03.2024 02:00,67.77,BZN|IE(SEM),
08.03.2024 02:00 - 08.03.2024 03:00,68.12,BZN|IE(SEM),
08.03.2024 03:00 - 08.03.2024 04:00,65,BZN|IE(SEM),
08.03.2024 04:00 - 08.03.2024 05:00,62.16,BZN|IE(SEM),
08.03.2024 05:00 - 08.03.2024 06:00,62.16,BZN|IE(SEM),
08.03.2024 06:00 - 08.03.2024 07:00,70.33,BZN|IE(SEM),
08.03.2024 07:00 - 08.03.2024 08:00,88.22,BZN|IE(SEM),
08.03.2024 08:00 - 08.03.2024 09:00,99,BZN|IE(SEM),
08.03.2024 09:00 - 08.03.2024 10:00,91,BZN|IE(SEM),
08.03.2024 10:00 - 08.03.2024 11:00,77,BZN|IE(SEM),
08.03.2024 11:00 - 08.03.2024 12:00,64.04,BZN|IE(SEM),
08.03.2024 12:00 - 08.03.2024 13:00,58.6,BZN|IE(SEM),
08.03.2024 13:00 - 08.03.2024 14:00,55,BZN|IE(SEM),
08.03.2024 14:00 - 08.03.2024 15:00,51.43,BZN|IE(SEM),
08.03.2024 15:00 - 08.03.2024 16:00,52,BZN|IE(SEM),
08.03.2024 16:00 - 08.03.2024 17:00,59.61,BZN|IE(SEM),
08.03.2024 17:00 - 08.03.2024 18:00,68.82,BZN|IE(SEM),
08.03.2024 18:00 - 08.03.2024 19:00,83.43,BZN|IE(SEM),
08.03.2024 19:00 - 08.03.2024 20:00,97,BZN|IE(SEM),
08.03.2024 20:00 - 08.03.2024 21:00,95.3,BZN|IE(SEM),
08.03.2024 21:00 - 08.03.2024 22:00,75,BZN|IE(SEM),
08.03.2024 22:00 - 08.03.2024 23:00,65.99,BZN|IE(SEM),
08.03.2024 23:00 - 09.03.2024 00:00,59,BZN|IE(SEM),
09.03.2024 00:00 - 09.03.2024 01:00,57,BZN|IE(SEM),
09.03.2024 01:00 - 09.03.2024 02:00,56,BZN|IE(SEM),
09.03.2024 02:00 - 09.03.2024 03:00,55,BZN|IE(SEM),
09.03.2024 03:00 - 09.03.2024 04:00,53,BZN|IE(SEM),
09.03.2024 04:00 - 09.03.2024 05:00,51,BZN|IE(SEM),
09.03.2024 05:00 - 09.03.2024 06:00,48.27,BZN|IE(SEM),
09.03.2024 06:00 - 09.03.2024 07:00,49.4,BZN|IE(SEM),
09.03.2024 07:00 - 09.03.2024 08:00,53,BZN|IE(SEM),
09.03.2024 08:00 - 09.03.2024 09:00,52.88,BZN|IE(SEM),
09.03.2024 09:00 - 09.03.2024 10:00,60.76,BZN|IE(SEM),
09.03.2024 10:00 - 09.03.2024 11:00,59.82,BZN|IE(SEM),
09.03.2024 11:00 - 09.03.2024 12:00,56.28,BZN|IE(SEM),
09.03.2024 12:00 - 09.03.2024 13:00,55,BZN|IE(SEM),
09.03.2024 13:00 - 09.03.2024 14:00,57.46,BZN|IE(SEM),
09.03.2024 14:00 - 09.03.2024 15:00,64,BZN|IE(SEM),
09.03.2024 15:00 - 09.03.2024 16:00,67.56,BZN|IE(SEM),
09.03.2024 16:00 - 09.03.2024 17:00,66,BZN|IE(SEM),
09.03.2024 17:00 - 09.03.2024 18:00,81.4,BZN|IE(SEM),
09.03.2024 18:00 - 09.03.2024 19:00,96.16,BZN|IE(SEM),
09.03.2024 19:00 - 09.03.2024 20:00,112.81,BZN|IE(SEM),
09.03.2024 20:00 - 09.03.2024 21:00,105.32,BZN|IE(SEM),
09.03.2024 21:00 - 09.03.2024 22:00,93.81,BZN|IE(SEM),
09.03.2024 22:00 - 09.03.2024 23:00,85.97,BZN|IE(SEM),
09.03.2024 23:00 - 10.03.2024 00:00,81.03,BZN|IE(SEM),
10.03.2024 00:00 - 10.03.2024 01:00,81.78,BZN|IE(SEM),
10.03.2024 01:00 - 10.03.2024 02:00,72.1,BZN|IE(SEM),
10.03.2024 02:00 - 10.03.2024 03:00,67.77,BZN|IE(SEM),
10.03.2024 03:00 - 10.03.2024 04:00,67.3,BZN|IE(SEM),
10.03.2024 04:00 - 10.03.2024 05:00,67.3,BZN|IE(SEM),
10.03.2024 05:00 - 10.03.2024 06:00,67.3,BZN|IE(SEM),
10.03.2024 06:00 - 10.03.2024 07:00,67.3,BZN|IE(SEM),
10.03.2024 07:00 - 10.03.2024 08:00,67.3,BZN|IE(SEM),
10.03.2024 08:00 - 10.03.2024 09:00,77.57,BZN|IE(SEM),
10.03.2024 09:00 - 10.03.2024 10:00,73.64,BZN|IE(SEM),
10.03.2024 10:00 - 10.03.2024 11:00,88.62,BZN|IE(SEM),
10.03.2024 11:00 - 10.03.2024 12:00,95,BZN|IE(SEM),
10.03.2024 12:00 - 10.03.2024 13:00,88.52,BZN|IE(SEM),
10.03.2024 13:00 - 10.03.2024 14:00,91.8,BZN|IE(SEM),
10.03.2024 14:00 - 10.03.2024 15:00,95,BZN|IE(SEM),
10.03.2024 15:00 - 10.03.2024 16:00,88.62,BZN|IE(SEM),
10.03.2024 16:00 - 10.03.2024 17:00,88.52,BZN|IE(SEM),
10.03.2024 17:00 - 10.03.2024 18:00,92.56,BZN|IE(SEM),
10.03.2024 18:00 - 10.03.2024 19:00,115.83,BZN|IE(SEM),
10.03.2024 19:00 - 10.03.2024 20:00,140.2,BZN|IE(SEM),
10.03.2024 20:00 - 10.03.2024 21:00,136,BZN|IE(SEM),
10.03.2024 21:00 - 10.03.2024 22:00,114.35,BZN|IE(SEM),
10.03.2024 22:00 - 10.03.2024 23:00,97,BZN|IE(SEM),
10.03.2024 23:00 - 11.03.2024 00:00,85.85,BZN|IE(SEM),
11.03.2024 00:00 - 11.03.2024 01:00,102.39,BZN|IE(SEM),
11.03.2024 01:00 - 11.03.2024 02:00,95.44,BZN|IE(SEM),
11.03.2024 02:00 - 11.03.2024 03:00,95.44,BZN|IE(SEM),
11.03.2024 03:00 - 11.03.2024 04:00,95.44,BZN|IE(SEM),
11.03.2024 04:00 - 11.03.2024 05:00,95.44,BZN|IE(SEM),
11.03.2024 05:00 - 11.03.2024 06:00,95.44,BZN|IE(SEM),
11.03.2024 06:00 - 11.03.2024 07:00,93.79,BZN|IE(SEM),
11.03.2024 07:00 - 11.03.2024 08:00,89.75,BZN|IE(SEM),
11.03.2024 08:00 - 11.03.2024 09:00,115,BZN|IE(SEM),
11.03.2024 09:00 - 11.03.2024 10:00,167.2,BZN|IE(SEM),
11.03.2024 10:00 - 11.03.2024 11:00,204.2,BZN|IE(SEM),
11.03.2024 11:00 - 11.03.2024 12:00,203.3,BZN|IE(SEM),
11.03.2024 12:00 - 11.03.2024 13:00,205,BZN|IE(SEM),
11.03.2024 13:00 - 11.03.2024 14:00,197.87,BZN|IE(SEM),
11.03.2024 14:00 - 11.03.2024 15:00,182.59,BZN|IE(SEM),
11.03.2024 15:00 - 11.03.2024 16:00,165,BZN|IE(SEM),
11.03.2024 16:00 - 11.03.2024 17:00,166.9,BZN|IE(SEM),
11.03.2024 17:00 - 11.03.2024 18:00,190,BZN|IE(SEM),
11.03.2024 18:00 - 11.03.2024 19:00,209,BZN|IE(SEM),
11.03.2024 19:00 - 11.03.2024 20:00,199.8,BZN|IE(SEM),
11.03.2024 20:00 - 11.03.2024 21:00,163.1,BZN|IE(SEM),
11.03.2024 21:00 - 11.03.2024 22:00,110.81,BZN|IE(SEM),
11.03.2024 22:00 - 11.03.2024 23:00,88,BZN|IE(SEM),
11.03.2024 23:00 - 12.03.2024 00:00,80,BZN|IE(SEM),
12.03.2024 00:00 - 12.03.2024 01:00,75.3,BZN|IE(SEM),
12.03.2024 01:00 - 12.03.2024 02:00,73.8,BZN|IE(SEM),
12.03.2024 02:00 - 12.03.2024 03:00,70,BZN|IE(SEM),
12.03.2024 03:00 - 12.03.2024 04:00,67.22,BZN|IE(SEM),
12.03.2024 04:00 - 12.03.2024 05:00,67.57,BZN|IE(SEM),
12.03.2024 05:00 - 12.03.2024 06:00,67.3,BZN|IE(SEM),
12.03.2024 06:00 - 12.03.2024 07:00,72.3,BZN|IE(SEM),
12.03.2024 07:00 - 12.03.2024 08:00,85.55,BZN|IE(SEM),
12.03.2024 08:00 - 12.03.2024 09:00,97.79,BZN|IE(SEM),
12.03.2024 09:00 - 12.03.2024 10:00,91,BZN|IE(SEM),
12.03.2024 10:00 - 12.03.2024 11:00,90.28,BZN|IE(SEM),
12.03.2024 11:00 - 12.03.2024 12:00,82.4,BZN|IE(SEM),
12.03.2024 12:00 - 12.03.2024 13:00,79,BZN|IE(SEM),
12.03.2024 13:00 - 12.03.2024 14:00,76.3,BZN|IE(SEM),
12.03.2024 14:00 - 12.03.2024 15:00,73,BZN|IE(SEM),
12.03.2024 15:00 - 12.03.2024 16:00,72.6,BZN|IE(SEM),
12.03.2024 16:00 - 12.03.2024 17:00,72.22,BZN|IE(SEM),
12.03.2024 17:00 - 12.03.2024 18:00,76.05,BZN|IE(SEM),
12.03.2024 18:00 - 12.03.2024 19:00,85.32,BZN|IE(SEM),
12.03.2024 19:00 - 12.03.2024 20:00,95.96,BZN|IE(SEM),
12.03.2024 20:00 - 12.03.2024 21:00,83.82,BZN|IE(SEM),
12.03.2024 21:00 - 12.03.2024 22:00,72.22,BZN|IE(SEM),
12.03.2024 22:00 - 12.03.2024 23:00,68.06,BZN|IE(SEM),
12.03.2024 23:00 - 13.03.2024 00:00,55.38,BZN|IE(SEM),
13.03.2024 00:00 - 13.03.2024 01:00,55.23,BZN|IE(SEM),
13.03.2024 01:00 - 13.03.2024 02:00,49.44,BZN|IE(SEM),
13.03.2024 02:00 - 13.03.2024 03:00,49.5,BZN|IE(SEM),
13.03.2024 03:00 - 13.03.2024 04:00,52,BZN|IE(SEM),
13.03.2024 04:00 - 13.03.2024 05:00,52.57,BZN|IE(SEM),
13.03.2024 05:00 - 13.03.2024 06:00,55.78,BZN|IE(SEM),
13.03.2024 06:00 - 13.03.2024 07:00,64.05,BZN|IE(SEM),
13.03.2024 07:00 - 13.03.2024 08:00,75.21,BZN|IE(SEM),
13.03.2024 08:00 - 13.03.2024 09:00,85,BZN|IE(SEM),
13.03.2024 09:00 - 13.03.2024 10:00,91.68,BZN|IE(SEM),
13.03.2024 10:00 - 13.03.2024 11:00,94.35,BZN|IE(SEM),
13.03.2024 11:00 - 13.03.2024 12:00,91,BZN|IE(SEM),
13.03.2024 12:00 - 13.03.2024 13:00,89,BZN|IE(SEM),
13.03.2024 13:00 - 13.03.2024 14:00,89.03,BZN|IE(SEM),
13.03.2024 14:00 - 13.03.2024 15:00,88,BZN|IE(SEM),
13.03.2024 15:00 - 13.03.2024 16:00,91.38,BZN|IE(SEM),
13.03.2024 16:00 - 13.03.2024 17:00,96,BZN|IE(SEM),
13.03.2024 17:00 - 13.03.2024 18:00,105.6,BZN|IE(SEM),
13.03.2024 18:00 - 13.03.2024 19:00,127.5,BZN|IE(SEM),
13.03.2024 19:00 - 13.03.2024 20:00,138.71,BZN|IE(SEM),
13.03.2024 20:00 - 13.03.2024 21:00,132.3,BZN|IE(SEM),
13.03.2024 21:00 - 13.03.2024 22:00,101.1,BZN|IE(SEM),
13.03.2024 22:00 - 13.03.2024 23:00,81.1,BZN|IE(SEM),
13.03.2024 23:00 - 14.03.2024 00:00,67.97,BZN|IE(SEM),
14.03.2024 00:00 - 14.03.2024 01:00,70.53,BZN|IE(SEM),
14.03.2024 01:00 - 14.03.2024 02:00,65.59,BZN|IE(SEM),
14.03.2024 02:00 - 14.03.2024 03:00,66.78,BZN|IE(SEM),
14.03.2024 03:00 - 14.03.2024 04:00,64.59,BZN|IE(SEM),
14.03.2024 04:00 - 14.03.2024 05:00,63,BZN|IE(SEM),
14.03.2024 05:00 - 14.03.2024 06:00,63.1,BZN|IE(SEM),
14.03.2024 06:00 - 14.03.2024 07:00,70,BZN|IE(SEM),
14.03.2024 07:00 - 14.03.2024 08:00,81,BZN|IE(SEM),
14.03.2024 08:00 - 14.03.2024 09:00,86,BZN|IE(SEM),
14.03.2024 09:00 - 14.03.2024 10:00,88.26,BZN|IE(SEM),
14.03.2024 10:00 - 14.03.2024 11:00,87.58,BZN|IE(SEM),
14.03.2024 11:00 - 14.03.2024 12:00,81.62,BZN|IE(SEM),
14.03.2024 12:00 - 14.03.2024 13:00,78.45,BZN|IE(SEM),
14.03.2024 13:00 - 14.03.2024 14:00,76.86,BZN|IE(SEM),
14.03.2024 14:00 - 14.03.2024 15:00,72.54,BZN|IE(SEM),
14.03.2024 15:00 - 14.03.2024 16:00,69.75,BZN|IE(SEM),
14.03.2024 16:00 - 14.03.2024 17:00,71.5,BZN|IE(SEM),
14.03.2024 17:00 - 14.03.2024 18:00,78,BZN|IE(SEM),
14.03.2024 18:00 - 14.03.2024 19:00,88.56,BZN|IE(SEM),
14.03.2024 19:00 - 14.03.2024 20:00,92.13,BZN|IE(SEM),
14.03.2024 20:00 - 14.03.2024 21:00,89.07,BZN|IE(SEM),
14.03.2024 21:00 - 14.03.2024 22:00,75,BZN|IE(SEM),
14.03.2024 22:00 - 14.03.2024 23:00,73.26,BZN|IE(SEM),
14.03.2024 23:00 - 15.03.2024 00:00,64.25,BZN|IE(SEM),
15.03.2024 00:00 - 15.03.2024 01:00,60,BZN|IE(SEM),
15.03.2024 01:00 - 15.03.2024 02:00,62.7,BZN|IE(SEM),
15.03.2024 02:00 - 15.03.2024 03:00,64.19,BZN|IE(SEM),
15.03.2024 03:00 - 15.03.2024 04:00,63.27,BZN|IE(SEM),
15.03.2024 04:00 - 15.03.2024 05:00,67.91,BZN|IE(SEM),
15.03.2024 05:00 - 15.03.2024 06:00,71.89,BZN|IE(SEM),
15.03.2024 06:00 - 15.03.2024 07:00,63.36,BZN|IE(SEM),
15.03.2024 07:00 - 15.03.2024 08:00,73.08,BZN|IE(SEM),
15.03.2024 08:00 - 15.03.2024 09:00,77.53,BZN|IE(SEM),
15.03.2024 09:00 - 15.03.2024 10:00,84.36,BZN|IE(SEM),
15.03.2024 10:00 - 15.03.2024 11:00,86.9,BZN|IE(SEM),
15.03.2024 11:00 - 15.03.2024 12:00,78.45,BZN|IE(SEM),
15.03.2024 12:00 - 15.03.2024 13:00,76.1,BZN|IE(SEM),
15.03.2024 13:00 - 15.03.2024 14:00,74.47,BZN|IE(SEM),
15.03.2024 14:00 - 15.03.2024 15:00,69.45,BZN|IE(SEM),
15.03.2024 15:00 - 15.03.2024 16:00,68.87,BZN|IE(SEM),
15.03.2024 16:00 - 15.03.2024 17:00,72.16,BZN|IE(SEM),
15.03.2024 17:00 - 15.03.2024 18:00,89.59,BZN|IE(SEM),
15.03.2024 18:00 - 15.03.2024 19:00,117.46,BZN|IE(SEM),
15.03.2024 19:00 - 15.03.2024 20:00,152.35,BZN|IE(SEM),
15.03.2024 20:00 - 15.03.2024 21:00,184.2,BZN|IE(SEM),
15.03.2024 21:00 - 15.03.2024 22:00,160,BZN|IE(SEM),
15.03.2024 22:00 - 15.03.2024 23:00,125,BZN|IE(SEM),
15.03.2024 23:00 - 16.03.2024 00:00,105.11,BZN|IE(SEM),
16.03.2024 00:00 - 16.03.2024 01:00,192,BZN|IE(SEM),
16.03.2024 01:00 - 16.03.2024 02:00,106.25,BZN|IE(SEM),
16.03.2024 02:00 - 16.03.2024 03:00,80.3,BZN|IE(SEM),
16.03.2024 03:00 - 16.03.2024 04:00,78,BZN|IE(SEM),
16.03.2024 04:00 - 16.03.2024 05:00,73,BZN|IE(SEM),
16.03.2024 05:00 - 16.03.2024 06:00,72,BZN|IE(SEM),
16.03.2024 06:00 - 16.03.2024 07:00,71.01,BZN|IE(SEM),
16.03.2024 07:00 - 16.03.2024 08:00,74.43,BZN|IE(SEM),
16.03.2024 08:00 - 16.03.2024 09:00,73.6,BZN|IE(SEM),
16.03.2024 09:00 - 16.03.2024 10:00,89.23,BZN|IE(SEM),
16.03.2024 10:00 - 16.03.2024 11:00,94.31,BZN|IE(SEM),
16.03.2024 11:00 - 16.03.2024 12:00,87.64,BZN|IE(SEM),
16.03.2024 12:00 - 16.03.2024 13:00,77,BZN|IE(SEM),
16.03.2024 13:00 - 16.03.2024 14:00,72.21,BZN|IE(SEM),
16.03.2024 14:00 - 16.03.2024 15:00,68,BZN|IE(SEM),
16.03.2024 15:00 - 16.03.2024 16:00,65,BZN|IE(SEM),
16.03.2024 16:00 - 16.03.2024 17:00,65.09,BZN|IE(SEM),
16.03.2024 17:00 - 16.03.2024 18:00,69.44,BZN|IE(SEM),
16.03.2024 18:00 - 16.03.2024 19:00,84.8,BZN|IE(SEM),
16.03.2024 19:00 - 16.03.2024 20:00,92.2,BZN|IE(SEM),
16.03.2024 20:00 - 16.03.2024 21:00,89.6,BZN|IE(SEM),
16.03.2024 21:00 - 16.03.2024 22:00,78.86,BZN|IE(SEM),
16.03.2024 22:00 - 16.03.2024 23:00,75.38,BZN|IE(SEM),
16.03.2024 23:00 - 17.03.2024 00:00,71.45,BZN|IE(SEM),
17.03.2024 00:00 - 17.03.2024 01:00,94,BZN|IE(SEM),
17.03.2024 01:00 - 17.03.2024 02:00,84.83,BZN|IE(SEM),
17.03.2024 02:00 - 17.03.2024 03:00,81.76,BZN|IE(SEM),
17.03.2024 03:00 - 17.03.2024 04:00,80.5,BZN|IE(SEM),
17.03.2024 04:00 - 17.03.2024 05:00,76.93,BZN|IE(SEM),
17.03.2024 05:00 - 17.03.2024 06:00,75,BZN|IE(SEM),
17.03.2024 06:00 - 17.03.2024 07:00,75,BZN|IE(SEM),
17.03.2024 07:00 - 17.03.2024 08:00,80,BZN|IE(SEM),
17.03.2024 08:00 - 17.03.2024 09:00,72.22,BZN|IE(SEM),
17.03.2024 09:00 - 17.03.2024 10:00,91.89,BZN|IE(SEM),
17.03.2024 10:00 - 17.03.2024 11:00,115,BZN|IE(SEM),
17.03.2024 11:00 - 17.03.2024 12:00,114.2,BZN|IE(SEM),
17.03.2024 12:00 - 17.03.2024 13:00,105.2,BZN|IE(SEM),
17.03.2024 13:00 - 17.03.2024 14:00,100.66,BZN|IE(SEM),
17.03.2024 14:00 - 17.03.2024 15:00,92.57,BZN|IE(SEM),
17.03.2024 15:00 - 17.03.2024 16:00,81,BZN|IE(SEM),
17.03.2024 16:00 - 17.03.2024 17:00,81.6,BZN|IE(SEM),
17.03.2024 17:00 - 17.03.2024 18:00,95,BZN|IE(SEM),
17.03.2024 18:00 - 17.03.2024 19:00,107.5,BZN|IE(SEM),
17.03.2024 19:00 - 17.03.2024 20:00,115,BZN|IE(SEM),
17.03.2024 20:00 - 17.03.2024 21:00,105.33,BZN|IE(SEM),
17.03.2024 21:00 - 17.03.2024 22:00,89,BZN|IE(SEM),
17.03.2024 22:00 - 17.03.2024 23:00,87.1,BZN|IE(SEM),
17.03.2024 23:00 - 18.03.2024 00:00,72,BZN|IE(SEM),
18.03.2024 00:00 - 18.03.2024 01:00,74.75,BZN|IE(SEM),
18.03.2024 01:00 - 18.03.2024 02:00,72.65,BZN|IE(SEM),
18.03.2024 02:00 - 18.03.2024 03:00,75.9,BZN|IE(SEM),
18.03.2024 03:00 - 18.03.2024 04:00,76.39,BZN|IE(SEM),
18.03.2024 04:00 - 18.03.2024 05:00,76.39,BZN|IE(SEM),
18.03.2024 05:00 - 18.03.2024 06:00,78.63,BZN|IE(SEM),
18.03.2024 06:00 - 18.03.2024 07:00,81.9,BZN|IE(SEM),
18.03.2024 07:00 - 18.03.2024 08:00,92.2,BZN|IE(SEM),
18.03.2024 08:00 - 18.03.2024 09:00,97,BZN|IE(SEM),
18.03.2024 09:00 - 18.03.2024 10:00,100.45,BZN|IE(SEM),
18.03.2024 10:00 - 18.03.2024 11:00,94.86,BZN|IE(SEM),
18.03.2024 11:00 - 18.03.2024 12:00,76.7,BZN|IE(SEM),
18.03.2024 12:00 - 18.03.2024 13:00,67.94,BZN|IE(SEM),
18.03.2024 13:00 - 18.03.2024 14:00,58.6,BZN|IE(SEM),
18.03.2024 14:00 - 18.03.2024 15:00,54.6,BZN|IE(SEM),
18.03.2024 15:00 - 18.03.2024 16:00,50.42,BZN|IE(SEM),
18.03.2024 16:00 - 18.03.2024 17:00,53,BZN|IE(SEM),
18.03.2024 17:00 - 18.03.2024 18:00,63.99,BZN|IE(SEM),
18.03.2024 18:00 - 18.03.2024 19:00,71.37,BZN|IE(SEM),
18.03.2024 19:00 - 18.03.2024 20:00,76.2,BZN|IE(SEM),
18.03.2024 20:00 - 18.03.2024 21:00,76,BZN|IE(SEM),
18.03.2024 21:00 - 18.03.2024 22:00,66.82,BZN|IE(SEM),
18.03.2024 22:00 - 18.03.2024 23:00,63.99,BZN|IE(SEM),
18.03.2024 23:00 - 19.03.2024 00:00,54.35,BZN|IE(SEM),
19.03.2024 00:00 - 19.03.2024 01:00,57.74,BZN|IE(SEM),
19.03.2024 01:00 - 19.03.2024 02:00,54.34,BZN|IE(SEM),
19.03.2024 02:00 - 19.03.2024 03:00,55.54,BZN|IE(SEM),
19.03.2024 03:00 - 19.03.2024 04:00,55.72,BZN|IE(SEM),
19.03.2024 04:00 - 19.03.2024 05:00,59.39,BZN|IE(SEM),
19.03.2024 05:00 - 19.03.2024 06:00,64.61,BZN|IE(SEM),
19.03.2024 06:00 - 19.03.2024 07:00,77.85,BZN|IE(SEM),
19.03.2024 07:00 - 19.03.2024 08:00,92.55,BZN|IE(SEM),
19.03.2024 08:00 - 19.03.2024 09:00,110.46,BZN|IE(SEM),
19.03.2024 09:00 - 19.03.2024 10:00,123,BZN|IE(SEM),
19.03.2024 10:00 - 19.03.2024 11:00,162,BZN|IE(SEM),
19.03.2024 11:00 - 19.03.2024 12:00,161.87,BZN|IE(SEM),
19.03.2024 12:00 - 19.03.2024 13:00,168,BZN|IE(SEM),
19.03.2024 13:00 - 19.03.2024 14:00,172.2,BZN|IE(SEM),
19.03.2024 14:00 - 19.03.2024 15:00,164,BZN|IE(SEM),
19.03.2024 15:00 - 19.03.2024 16:00,164,BZN|IE(SEM),
19.03.2024 16:00 - 19.03.2024 17:00,173.25,BZN|IE(SEM),
19.03.2024 17:00 - 19.03.2024 18:00,173.43,BZN|IE(SEM),
19.03.2024 18:00 - 19.03.2024 19:00,195.6,BZN|IE(SEM),
19.03.2024 19:00 - 19.03.2024 20:00,199,BZN|IE(SEM),
19.03.2024 20:00 - 19.03.2024 21:00,196.87,BZN|IE(SEM),
19.03.2024 21:00 - 19.03.2024 22:00,152.37,BZN|IE(SEM),
19.03.2024 22:00 - 19.03.2024 23:00,112.49,BZN|IE(SEM),
19.03.2024 23:00 - 20.03.2024 00:00,99.13,BZN|IE(SEM),
20.03.2024 00:00 - 20.03.2024 01:00,99.76,BZN|IE(SEM),
20.03.2024 01:00 - 20.03.2024 02:00,94.2,BZN|IE(SEM),
20.03.2024 02:00 - 20.03.2024 03:00,94.24,BZN|IE(SEM),
20.03.2024 03:00 - 20.03.2024 04:00,89.99,BZN|IE(SEM),
20.03.2024 04:00 - 20.03.2024 05:00,86.67,BZN|IE(SEM),
20.03.2024 05:00 - 20.03.2024 06:00,85.8,BZN|IE(SEM),
20.03.2024 06:00 - 20.03.2024 07:00,85.14,BZN|IE(SEM),
20.03.2024 07:00 - 20.03.2024 08:00,92,BZN|IE(SEM),
20.03.2024 08:00 - 20.03.2024 09:00,101.07,BZN|IE(SEM),
20.03.2024 09:00 - 20.03.2024 10:00,101.14,BZN|IE(SEM),
20.03.2024 10:00 - 20.03.2024 11:00,105.2,BZN|IE(SEM),
20.03.2024 11:00 - 20.03.2024 12:00,95.55,BZN|IE(SEM),
20.03.2024 12:00 - 20.03.2024 13:00,92.59,BZN|IE(SEM),
20.03.2024 13:00 - 20.03.2024 14:00,94.81,BZN|IE(SEM),
20.03.2024 14:00 - 20.03.2024 15:00,94.81,BZN|IE(SEM),
20.03.2024 15:00 - 20.03.2024 16:00,97.2,BZN|IE(SEM),
20.03.2024 16:00 - 20.03.2024 17:00,113.67,BZN|IE(SEM),
20.03.2024 17:00 - 20.03.2024 18:00,140,BZN|IE(SEM),
20.03.2024 18:00 - 20.03.2024 19:00,172.23,BZN|IE(SEM),
20.03.2024 19:00 - 20.03.2024 20:00,201.55,BZN|IE(SEM),
20.03.2024 20:00 - 20.03.2024 21:00,218,BZN|IE(SEM),
20.03.2024 21:00 - 20.03.2024 22:00,195,BZN|IE(SEM),
20.03.2024 22:00 - 20.03.2024 23:00,143.47,BZN|IE(SEM),
20.03.2024 23:00 - 21.03.2024 00:00,95,BZN|IE(SEM),
21.03.2024 00:00 - 21.03.2024 01:00,103.72,BZN|IE(SEM),
21.03.2024 01:00 - 21.03.2024 02:00,93.65,BZN|IE(SEM),
21.03.2024 02:00 - 21.03.2024 03:00,89.99,BZN|IE(SEM),
21.03.2024 03:00 - 21.03.2024 04:00,76.4,BZN|IE(SEM),
21.03.2024 04:00 - 21.03.2024 05:00,69,BZN|IE(SEM),
21.03.2024 05:00 - 21.03.2024 06:00,66.6,BZN|IE(SEM),
21.03.2024 06:00 - 21.03.2024 07:00,71,BZN|IE(SEM),
21.03.2024 07:00 - 21.03.2024 08:00,77.88,BZN|IE(SEM),
21.03.2024 08:00 - 21.03.2024 09:00,90.97,BZN|IE(SEM),
21.03.2024 09:00 - 21.03.2024 10:00,83.46,BZN|IE(SEM),
21.03.2024 10:00 - 21.03.2024 11:00,78.75,BZN|IE(SEM),
21.03.2024 11:00 - 21.03.2024 12:00,80.93,BZN|IE(SEM),
21.03.2024 12:00 - 21.03.2024 13:00,74.8,BZN|IE(SEM),
21.03.2024 13:00 - 21.03.2024 14:00,69.46,BZN|IE(SEM),
21.03.2024 14:00 - 21.03.2024 15:00,66,BZN|IE(SEM),
21.03.2024 15:00 - 21.03.2024 16:00,70,BZN|IE(SEM),
21.03.2024 16:00 - 21.03.2024 17:00,71.87,BZN|IE(SEM),
21.03.2024 17:00 - 21.03.2024 18:00,80.49,BZN|IE(SEM),
21.03.2024 18:00 - 21.03.2024 19:00,91.41,BZN|IE(SEM),
21.03.2024 19:00 - 21.03.2024 20:00,116,BZN|IE(SEM),
21.03.2024 20:00 - 21.03.2024 21:00,111.44,BZN|IE(SEM),
21.03.2024 21:00 - 21.03.2024 22:00,95.31,BZN|IE(SEM),
21.03.2024 22:00 - 21.03.2024 23:00,96,BZN|IE(SEM),
21.03.2024 23:00 - 22.03.2024 00:00,77.88,BZN|IE(SEM),
22.03.2024 00:00 - 22.03.2024 01:00,75.91,BZN|IE(SEM),
22.03.2024 01:00 - 22.03.2024 02:00,62.38,BZN|IE(SEM),
22.03.2024 02:00 - 22.03.2024 03:00,62.38,BZN|IE(SEM),
22.03.2024 03:00 - 22.03.2024 04:00,62.38,BZN|IE(SEM),
22.03.2024 04:00 - 22.03.2024 05:00,62.38,BZN|IE(SEM),
22.03.2024 05:00 - 22.03.2024 06:00,62.38,BZN|IE(SEM),
22.03.2024 06:00 - 22.03.2024 07:00,70.1,BZN|IE(SEM),
22.03.2024 07:00 - 22.03.2024 08:00,79.77,BZN|IE(SEM),
22.03.2024 08:00 - 22.03.2024 09:00,117,BZN|IE(SEM),
