MTU (CET/CEST),Day-ahead Price [EUR/MWh],Currency,BZN|IE(SEM)
04.01.2024 07:00 - 04.01.2024 08:00,87.34,BZN|IE(SEM),
04.01.2024 08:00 - 04.01.2024 09:00,90,BZN|IE(SEM),
04.01.2024 09:00 - 04.01.2024 10:00,95.66,BZN|IE(SEM),
04.01.2024 10:00 - 04.01.2024 11:00,105.27,BZN|IE(SEM),
04.01.2024 11:00 - 04.01.2024 12:00,110.56,BZN|IE(SEM),
04.01.2024 12:00 - 04.01.2024 13:00,115,BZN|IE(SEM),
04.01.2024 13:00 - 04.01.2024 14:00,120,BZN|IE(SEM),
04.01.2024 14:00 - 04.01.2024 15:00,122.53,BZN|IE(SEM),
04.01.2024 15:00 - 04.01.2024 16:00,128.39,BZN|IE(SEM),
04.01.2024 16:00 - 04.01.2024 17:00,139.3,BZN|IE(SEM),
04.01.2024 17:00 - 04.01.2024 18:00,178,BZN|IE(SEM),
04.01.2024 18:00 - 04.01.2024 19:00,196.96,BZN|IE(SEM),
04.01.2024 19:00 - 04.01.2024 20:00,176.55,BZN|IE(SEM),
04.01.2024 20:00 - 04.01.2024 21:00,150.77,BZN|IE(SEM),
04.01.2024 21:00 - 04.01.2024 22:00,125,BZN|IE(SEM),
04.01.2024 22:00 - 04.01.2024 23:00,106.13,BZN|IE(SEM),
04.01.2024 23:00 - 05.01.2024 00:00,90.04,BZN|IE(SEM),
05.01.2024 00:00 - 05.01.2024 01:00,97.61,BZN|IE(SEM),
05.01.2024 01:00 - 05.01.2024 02:00,96.53,BZN|IE(SEM),
05.01.2024 02:00 - 05.01.2024 03:00,94.14,BZN|IE(SEM),
05.01.2024 03:00 - 05.01.2024 04:00,89,BZN|IE(SEM),
05.01.2024 04:00 - 05.01.2024 05:00,86.09,BZN|IE(SEM),
05.01.2024 05:00 - 05.01.2024 06:00,84.43,BZN|IE(SEM),
05.01.2024 06:00 - 05.01.2024 07:00,86.45,BZN|IE(SEM),
05.01.2024 07:00 - 05.01.2024 08:00,94.02,BZN|IE(SEM),
05.01.2024 08:00 - 05.01.2024 09:00,102.43,BZN|IE(SEM),
05.01.2024 09:00 - 05.01.2024 10:00,106.22,BZN|IE(SEM),
05.01.2024 10:00 - 05.01.2024 11:00,106.62,BZN|IE(SEM),
05.01.2024 11:00 - 05.01.2024 12:00,106.22,BZN|IE(SEM),
05.01.2024 12:00 - 05.01.2024 13:00,105,BZN|IE(SEM),
05.01.2024 13:00 - 05.01.2024 14:00,102,BZN|IE(SEM),
05.01.2024 14:00 - 05.01.2024 15:00,101.39,BZN|IE(SEM),
05.01.2024 15:00 - 05.01.2024 16:00,105.82,BZN|IE(SEM),
05.01.2024 16:00 - 05.01.2024 17:00,110,BZN|IE(SEM),
05.01.2024 17:00 - 05.01.2024 18:00,127,BZN|IE(SEM),
05.01.2024 18:00 - 05.01.2024 19:00,138.77,BZN|IE(SEM),
05.01.2024 19:00 - 05.01.2024 20:00,130,BZN|IE(SEM),
05.01.2024 20:00 - 05.01.2024 21:00,115,BZN|IE(SEM),
05.01.2024 21:00 - 05.01.2024 22:00,102.38,BZN|IE(SEM),
05.01.2024 22:00 - 05.01.2024 23:00,100.79,BZN|IE(SEM),
05.01.2024 23:00 - 06.01.2024 00:00,91.93,BZN|IE(SEM),
06.01.2024 00:00 - 06.01.2024 01:00,95.3,BZN|IE(SEM),
06.01.2024 01:00 - 06.01.2024 02:00,101.25,BZN|IE(SEM),
06.01.2024 02:00 - 06.01.2024 03:00,97.26,BZN|IE(SEM),
06.01.2024 03:00 - 06.01.2024 04:00,93.58,BZN|IE(SEM),
06.01.2024 04:00 - 06.01.2024 05:00,91.57,BZN|IE(SEM),
06.01.2024 05:00 - 06.01.2024 06:00,90.15,BZN|IE(SEM),
06.01.2024 06:00 - 06.01.2024 07:00,86.08,BZN|IE(SEM),
06.01.2024 07:00 - 06.01.2024 08:00,88.18,BZN|IE(SEM),
06.01.2024 08:00 - 06.01.2024 09:00,93.38,BZN|IE(SEM),
06.01.2024 09:00 - 06.01.2024 10:00,95.94,BZN|IE(SEM),
06.01.2024 10:00 - 06.01.2024 11:00,106.95,BZN|IE(SEM),
06.01.2024 11:00 - 06.01.2024 12:00,114.8,BZN|IE(SEM),
06.01.2024 12:00 - 06.01.2024 13:00,117.59,BZN|IE(SEM),
06.01.2024 13:00 - 06.01.2024 14:00,115,BZN|IE(SEM),
06.01.2024 14:00 - 06.01.2024 15:00,114.22,BZN|IE(SEM),
06.01.2024 15:00 - 06.01.2024 16:00,110,BZN|IE(SEM),
06.01.2024 16:00 - 06.01.2024 17:00,118.4,BZN|IE(SEM),
06.01.2024 17:00 - 06.01.2024 18:00,150.49,BZN|IE(SEM),
06.01.2024 18:00 - 06.01.2024 19:00,175.23,BZN|IE(SEM),
06.01.2024 19:00 - 06.01.2024 20:00,168.46,BZN|IE(SEM),
06.01.2024 20:00 - 06.01.2024 21:00,135.81,BZN|IE(SEM),
06.01.2024 21:00 - 06.01.2024 22:00,110.36,BZN|IE(SEM),
06.01.2024 22:00 - 06.01.2024 23:00,106.95,BZN|IE(SEM),
06.01.2024 23:00 - 07.01.2024 00:00,100,BZN|IE(SEM),
07.01.2024 00:00 - 07.01.2024 01:00,101.01,BZN|IE(SEM),
07.01.2024 01:00 - 07.01.2024 02:00,116.65,BZN|IE(SEM),
07.01.2024 02:00 - 07.01.2024 03:00,117.21,BZN|IE(SEM),
07.01.2024 03:00 - 07.01.2024 04:00,113.18,BZN|IE(SEM),
07.01.2024 04:00 - 07.01.2024 05:00,109.01,BZN|IE(SEM),
07.01.2024 05:00 - 07.01.2024 06:00,103.8,BZN|IE(SEM),
07.01.2024 06:00 - 07.01.2024 07:00,93.89,BZN|IE(SEM),
07.01.2024 07:00 - 07.01.2024 08:00,90.34,BZN|IE(SEM),
07.01.2024 08:00 - 07.01.2024 09:00,90.85,BZN|IE(SEM),
07.01.2024 09:00 - 07.01.2024 10:00,95.98,BZN|IE(SEM),
07.01.2024 10:00 - 07.01.2024 11:00,99.43,BZN|IE(SEM),
07.01.2024 11:00 - 07.01.2024 12:00,111.51,BZN|IE(SEM),
07.01.2024 12:00 - 07.01.2024 13:00,130.1,BZN|IE(SEM),
07.01.2024 13:00 - 07.01.2024 14:00,135.9,BZN|IE(SEM),
07.01.2024 14:00 - 07.01.2024 15:00,139.3,BZN|IE(SEM),
07.01.2024 15:00 - 07.01.2024 16:00,129.25,BZN|IE(SEM),
07.01.2024 16:00 - 07.01.2024 17:00,141.24,BZN|IE(SEM),
07.01.2024 17:00 - 07.01.2024 18:00,159.82,BZN|IE(SEM),
07.01.2024 18:00 - 07.01.2024 19:00,205,BZN|IE(SEM),
07.01.2024 19:00 - 07.01.2024 20:00,195,BZN|IE(SEM),
07.01.2024 20:00 - 07.01.2024 21:00,150.9,BZN|IE(SEM),
07.01.2024 21:00 - 07.01.2024 22:00,130,BZN|IE(SEM),
07.01.2024 22:00 - 07.01.2024 23:00,105.13,BZN|IE(SEM),
07.01.2024 23:00 - 08.01.2024 00:00,92.99,BZN|IE(SEM),
08.01.2024 00:00 - 08.01.2024 01:00,108.93,BZN|IE(SEM),
08.01.2024 01:00 - 08.01.2024 02:00,116.69,BZN|IE(SEM),
08.01.2024 02:00 - 08.01.2024 03:00,106.64,BZN|IE(SEM),
08.01.2024 03:00 - 08.01.2024 04:00,99.6,BZN|IE(SEM),
08.01.2024 04:00 - 08.01.2024 05:00,97.92,BZN|IE(SEM),
08.01.2024 05:00 - 08.01.2024 06:00,97.22,BZN|IE(SEM),
08.01.2024 06:00 - 08.01.2024 07:00,97.93,BZN|IE(SEM),
08.01.2024 07:00 - 08.01.2024 08:00,95.63,BZN|IE(SEM),
08.01.2024 08:00 - 08.01.2024 09:00,110,BZN|IE(SEM),
